NO;Kecamatan;Puskesmas;kelahiran hidup 2019;kelahiran hidup 2020;kelahiran hidup 2021;BBLR 2019;BBLR 2020;BBLR 2021
1;Semarang tengah;Poncol , Miroto;215 , 208;218 , 221;175 , 143;6 , 5;19 , 6;10 , 2
2;Semarang utara;Bandarharjo , Bululor;1307 , 730;1498 , 572;1360 , 492;24 , 15;6 , 29;4 , 26
3;Semarang timur;Halmahera , Bugangan , Karangdoro;664 , 277 , 320;611 , 230 , 344;641 , 259 , 302;18 , 3, 13;8 , 2 , 17;10 , 3 , 22
4;Semarang selatan;Pandanaran , Lampertengah;310 , 262 ;320 , 245;249 , 197;15 , 9;25 , 17;7 , 9
5;Semarang barat;Karangayu , Lebdosari , Manyaran , Krobokan , Ngemplak Simongan;372 , 416 , 466 , 309 , 479;289 , 418 , 532 , 313 , 423;353 , 379 , 476 , 263 , 441;4 , 5 , 10 , 9 , 11;11 , 4 , 12 , 12;15, 2 , 5 , 20 ,5
6;Gayamsari;Gayamsari;915;826;831;22;30;32
7;Candi sari;Candilama , Kagok;645 , 360;701 , 343;598 , 305;18 , 8;16 , 6;9 , 1
8;Gajah mungkur;Pegandan;944;981;917;8;19;9
9;Genuk;Genuk , Bangetayu;707 , 1381;617 , 1347;684 , 1396;19 , 46;27 , 33;44 , 26
10;Pedurungan;Tlogosari Kulon , Tlogosari wetan;1178 , 1330;1264 , 1292;1239 , 1270;42 , 47;14 , 38;2 , 26
11;Tembalang;Kedungmundu , Rowosari;1616 , 626;1731 , 643;1706 , 472;41 , 20;82 , 18;66 , 29
12;Banyumanik;Ngesrep , Padangsari , Srondol , Pudakpayung ;499 , 352 , 904 , 492;487 , 311 , 872 , 559;445 , 279 , 599 , 472;18 , 10 , 13 , 3;17 , 10 , 13 , 6;26 , 4 , 11 , 3
13;Gunungpati;Gunungpati , Sekaran;828 , 649;1007 , 631;752 , 672;17 , 14;11 , 21;19 , 12
14;Mijen;Mijen , Karangmalang;1057 , 216;990 , 216;1122 , 189;27 , 5;39 , 7;1 , 10
15;Ngaliyan;Tambakaji , Purwosari , Ngaliyan;542 , 699 , 871;561 , 652 , 926;506 , 567 , 737;17 , 22 , 25;27 , 21 , 9;7 , 9 , 20
16;Tugu;Mangkang , Karanganyar;398 , 202;410 , 213;361 , 181;14 , 9;20 , 8;26 , 6
;;TOTAL;23746;23825;22030;612;671;538
